ts_code,buy_net,sell_net,final_mv,ending_shares,pnl,turnover_buy,trades,buys,sells,strategy,is_dynamic_only
159530.SZ,6622181.07138,6653515.730660001,0.0,0,31334.659280001186,6622181.07138,19,13,6,FINAL13_F2v3_ORIG38,False
563360.SH,1958833.6883999999,1991722.27586,0.0,0,32888.58746000007,1958833.6883999999,4,2,2,FINAL13_F2v3_ORIG38,False
159980.SZ,24385522.929360002,24420205.28194,0.0,0,34682.35257999599,24385522.929360002,134,77,57,FINAL13_F2v3_ORIG38,False
513330.SH,7073941.20534,7108763.76284,0.0,0,34822.55750000011,7073941.20534,36,22,14,FINAL13_F2v3_ORIG38,False
513400.SH,13843833.713100001,11842800.766039997,2037250.7999999998,1575600,36217.85293999687,13843833.713100001,32,18,14,FINAL13_F2v3_ORIG38,False
512400.SH,20210206.33302,20255097.770079996,0.0,0,44891.43705999479,20210206.33302,114,67,47,FINAL13_F2v3_ORIG38,False
159920.SZ,18249809.332020003,18301918.684040003,0.0,0,52109.352019999176,18249809.332020003,173,97,76,FINAL13_F2v3_ORIG38,False
510050.SH,10970823.926040001,11027871.38452,0.0,0,57047.45847999863,10970823.926040001,127,68,59,FINAL13_F2v3_ORIG38,False
513690.SH,15063737.54508,15125890.2168,0.0,0,62152.671719999984,15063737.54508,64,37,27,FINAL13_F2v3_ORIG38,False
513050.SH,17532596.01804,17598488.19828,0.0,0,65892.1802399978,17532596.01804,141,81,60,FINAL13_F2v3_ORIG38,False
513730.SH,8089545.185520001,8159669.939560002,0.0,0,70124.75404000096,8089545.185520001,37,23,14,FINAL13_F2v3_ORIG38,False
510300.SH,12750790.04808,12836451.99604,0.0,0,85661.94796000049,12750790.04808,146,79,67,FINAL13_F2v3_ORIG38,False
588080.SH,15369583.802099997,15487726.635040002,0.0,0,118142.83294000477,15369583.802099997,47,28,19,FINAL13_F2v3_ORIG38,False
512040.SH,15943655.893559998,16068898.977319999,0.0,0,125243.08376000077,15943655.893559998,75,41,34,FINAL13_F2v3_ORIG38,False
159995.SZ,21481275.396,21626337.96718,0.0,0,145062.57117999718,21481275.396,84,48,36,FINAL13_F2v3_ORIG38,False
159985.SZ,30162895.27278,30308800.42732,0.0,0,145905.15453999862,30162895.27278,140,86,54,FINAL13_F2v3_ORIG38,False
159682.SZ,14907641.9322,15053975.802560002,0.0,0,146333.87036000192,14907641.9322,30,17,13,FINAL13_F2v3_ORIG38,False
159792.SZ,11205063.864659997,11358543.03696,0.0,0,153479.17230000347,11205063.864659997,50,28,22,FINAL13_F2v3_ORIG38,False
513180.SH,8931013.745579999,9108342.06718,0.0,0,177328.3216000013,8931013.745579999,38,20,18,FINAL13_F2v3_ORIG38,False
513500.SH,36506519.54394,36688977.53664,0.0,0,182457.9927000031,36506519.54394,307,182,125,FINAL13_F2v3_ORIG38,False
513130.SH,8812637.074980002,9017614.51632,0.0,0,204977.44133999757,8812637.074980002,40,22,18,FINAL13_F2v3_ORIG38,False
159206.SZ,10786912.451100001,11000844.09106,0.0,0,213931.63995999843,10786912.451100001,24,15,9,FINAL13_F2v3_ORIG38,False
588000.SH,14580269.17074,14804718.064079996,0.0,0,224448.8933399953,14580269.17074,54,32,22,FINAL13_F2v3_ORIG38,False
518850.SH,22791431.97492,23025632.4523,0.0,0,234200.47738000005,22791431.97492,92,51,41,FINAL13_F2v3_ORIG38,False
513090.SH,13406279.919839999,13680605.8315,0.0,0,274325.9116600007,13406279.919839999,64,36,28,FINAL13_F2v3_ORIG38,False
513520.SH,33501295.11924,31490527.534620002,2286504.4,877400,275736.8153799996,33501295.11924,122,70,52,FINAL13_F2v3_ORIG38,False
159516.SZ,23282962.361339998,21227725.105699997,2402487.6,1528300,347250.3443600014,23282962.361339998,51,29,22,FINAL13_F2v3_ORIG38,False
159949.SZ,22463935.3887,22812377.31186,0.0,0,348441.9231599979,22463935.3887,126,72,54,FINAL13_F2v3_ORIG38,False
513100.SH,40465140.50982,40853137.63802001,0.0,0,387997.12820000947,40465140.50982,313,177,136,FINAL13_F2v3_ORIG38,False
512480.SH,28061234.424659997,28451470.5676,0.0,0,390236.1429400034,28061234.424659997,118,67,51,FINAL13_F2v3_ORIG38,False
159915.SZ,28223099.29116,28621123.530220002,0.0,0,398024.2390600033,28223099.29116,200,110,90,FINAL13_F2v3_ORIG38,False
513310.SH,32818698.52722,33559986.85996,0.0,0,741288.3327399977,32818698.52722,74,43,31,FINAL13_F2v3_ORIG38,False
501018.SH,39029594.157960005,39919066.48962,0.0,0,889472.331659995,39029594.157960005,216,123,93,FINAL13_F2v3_ORIG38,False
159583.SZ,19215512.53404,17908944.29464,2200903.1999999997,1023200,894334.9605999999,19215512.53404,41,26,15,FINAL13_F2v3_ORIG38,False
515880.SH,29827164.13998,28483961.76806,2291775.2,1232800,948572.8280799985,29827164.13998,98,57,41,FINAL13_F2v3_ORIG38,False
160723.SZ,36045140.98667999,37001260.96746001,0.0,0,956119.9807800129,36045140.98667999,197,110,87,FINAL13_F2v3_ORIG38,False
161226.SZ,29589239.464559995,31503429.65368,0.0,0,1914190.1891200058,29589239.464559995,186,109,77,FINAL13_F2v3_ORIG38,False
