tag,group,codes,notes,annual_return,sharpe_ratio,max_drawdown,annual_volatility,total_return,final_value,benchmark_annual,benchmark_sharpe,benchmark_drawdown,asset_first_buy,asset_buy_count,asset_sell_count,dip_add_count,asset_gross_buy,asset_net_sell,permanent_dip_add_enabled,permanent_dip_threshold,permanent_dip_add_weight,permanent_max_weight,alpha_vs_hs300
PERMHOLD_NIKKEI225_DIP15_ADD5_MAX40,NIKKEI225,513520.SH,"drawdown >=15%, add 5%, max 40%",0.24777116757172865,1.3417570948598692,-0.22322421872931864,0.18466171598489325,16.886846750160032,8943423.375080016,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2019-09-25,13,0,8,897599.1,0.0,True,0.15,0.05,0.4,0.20589933302540106
PERMHOLD_NIKKEI225_DIP20_ADD10_MAX50,NIKKEI225,513520.SH,"drawdown >=20%, add 10%, max 50%",0.24866191275524793,1.3446908280859002,-0.22322421872931864,0.18492125294645287,17.075830127080046,9037915.063540023,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2019-09-25,8,0,5,939196.5,0.0,True,0.2,0.1,0.5,0.20679007820892034
PERMHOLD_HSTECH_HOLDONLY,HSTECH,513180.SH,"permanent hold, no dip add",0.25386313228230284,1.2519627180177677,-0.22322421872931864,0.20277211823387545,17.48408408816004,9242042.044080019,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2022-06-17,5,0,0,581633.1,0.0,False,0.1,0.05,0.4,0.21199129773597525
PERMHOLD_HSTECH_DIP10_ADD5_MAX35,HSTECH,513180.SH,"drawdown >=10%, add 5%, max 35%",0.24084578875004256,1.1901108807434575,-0.22322421872931864,0.20237256263011996,14.721418862600032,7860709.431300016,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2022-06-17,9,0,8,974049.9,0.0,True,0.1,0.05,0.35,0.19897395420371497
PERMHOLD_HSTECH_DIP15_ADD5_MAX40,HSTECH,513180.SH,"drawdown >=15%, add 5%, max 40%",0.23112453336540592,1.1479258608405218,-0.22322421872931864,0.20134099356919655,12.95828316292004,6979141.58146002,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2022-06-17,13,0,10,1653350.8,0.0,True,0.15,0.05,0.4,0.18925269881907833
PERMHOLD_HSTECH_DIP20_ADD10_MAX50,HSTECH,513180.SH,"drawdown >=20%, add 10%, max 50%",0.23960278769791274,1.1954099691111442,-0.22322421872931864,0.20043566131213642,14.554347085040028,7777173.542520015,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2022-06-17,10,0,6,1454363.2999999998,0.0,True,0.2,0.1,0.5,0.19773095315158515
PERMHOLD_US_GOLD_HOLDONLY,US_GOLD,"513100.SH,513500.SH,518880.SH","permanent hold, no dip add",0.133612435658382,0.5975632174697607,-0.6696386318512899,0.22359548203808807,2.548319224320004,1774159.612160002,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2013-09-26,27,0,0,486278.0,0.0,False,0.1,0.05,0.4,0.0917406011120544
PERMHOLD_US_GOLD_DIP10_ADD5_MAX35,US_GOLD,"513100.SH,513500.SH,518880.SH","drawdown >=10%, add 5%, max 35%",0.12435416210700119,0.5611976668345345,-0.661951028617486,0.22158709748104888,2.1759792406000042,1587989.6203000022,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2013-09-26,32,0,5,566950.2999999999,0.0,True,0.1,0.05,0.35,0.0824823275606736
PERMHOLD_US_GOLD_DIP15_ADD5_MAX40,US_GOLD,"513100.SH,513500.SH,518880.SH","drawdown >=15%, add 5%, max 40%",0.12452371294567427,0.5558045833056167,-0.6699674153996449,0.22404225637197242,2.163330978120004,1581665.489060002,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2013-09-26,30,0,4,563504.6,0.0,True,0.15,0.05,0.4,0.08265187839934668
PERMHOLD_US_GOLD_DIP20_ADD10_MAX50,US_GOLD,"513100.SH,513500.SH,518880.SH","drawdown >=20%, add 10%, max 50%",0.1266359293016107,0.5645711593861845,-0.668355087923675,0.224304637593058,2.2456071791200034,1622803.5895600016,0.04187183454632759,0.21743722022347015,-0.45602619647979736,2013-09-26,27,0,1,549241.7,0.0,True,0.2,0.1,0.5,0.0847640947552831
