ts_code,pnl_static,buy_net_static,trades_static,pnl_fused,buy_net_fused,trades_fused,is_dynamic_only,pnl_delta_fused_minus_static,buy_delta_fused_minus_static
512890.SH,-30721.547779999673,20281482.4854,95.0,-36962.199519999325,15994482.956939999,82,False,-6240.651739999652,-4286999.52846
563360.SH,32888.58746000007,1958833.6883999999,4.0,26771.28408000036,1593401.4165599998,4,False,-6117.3033799997065,-365432.27184000006
159530.SZ,31334.659280001186,6622181.07138,19.0,25585.640599999577,5366102.90598,20,False,-5749.018680001609,-1256078.1653999994
513130.SH,204977.44133999757,8812637.074980002,40.0,199485.67856000084,6815540.53554,35,False,-5491.76277999673,-1997096.5394400023
150228.SZ,0.0,0.0,0.0,-4259.025640000007,1047193.99692,11,True,-4259.025640000007,1047193.99692
159905.SZ,0.0,0.0,0.0,-4210.697719999123,3949349.9120399994,26,True,-4210.697719999123,3949349.9120399994
159870.SZ,1244.862659998238,11492470.334460001,42.0,-2177.575540000573,9268777.48482,40,False,-3422.438199998811,-2223692.8496400006
159922.SZ,0.0,0.0,0.0,-3182.810760000022,1009118.58336,5,True,-3182.810760000022,1009118.58336
511380.SH,-14866.22020000033,9446984.71914,42.0,-17275.966499998234,6263805.710639999,31,False,-2409.7462999979034,-3183179.0085000014
511010.SH,11523.713200006634,30588452.767259996,217.0,9447.038940005004,24059427.223259997,201,False,-2076.6742600016296,-6529025.544
511660.SH,0.0,0.0,0.0,-1207.2666800003499,2960770.3356600003,26,True,-1207.2666800003499,2960770.3356600003
512090.SH,0.0,0.0,0.0,-690.8990600000252,211843.16016000003,2,True,-690.8990600000252,211843.16016000003
511220.SH,-2495.0345399975777,32986582.797360003,160.0,-2996.934000004083,24794332.77498,136,False,-501.89946000650525,-8192250.022380002
511880.SH,-30330.042599998415,50175772.54788,316.0,-30818.997459992766,42226154.5422,299,False,-488.95485999435186,-7949618.005680002
150018.SZ,0.0,0.0,0.0,-378.12151999992784,266492.88791999995,2,True,-378.12151999992784,266492.88791999995
512180.SH,0.0,0.0,0.0,-292.2265999999945,212212.63404,2,True,-292.2265999999945,212212.63404
511260.SH,0.0,0.0,0.0,-281.3383599999361,1061486.55486,8,True,-281.3383599999361,1061486.55486
159399.SZ,-3050.84486000007,1014387.837,2.0,-2406.704579999903,800215.0109999999,2,False,644.140280000167,-214172.82600000012
511360.SH,-7693.612560000271,33083377.652459998,129.0,-7033.129599999636,21514340.40768,93,False,660.4829600006342,-11569037.244779997
511990.SH,-4433.312919996679,9602499.01578,100.0,-3511.0514600006863,8032134.205620001,91,False,922.2614599959925,-1570364.810159999
515100.SH,0.0,0.0,0.0,996.5670600000885,406833.9505199999,2,True,996.5670600000885,406833.9505199999
159201.SZ,-3194.091000000946,5483824.645620001,8.0,-1987.8795000007376,4368442.71384,8,False,1206.2115000002086,-1115381.9317800002
513550.SH,0.0,0.0,0.0,1771.447039999999,635996.47386,4,True,1771.447039999999,635996.47386
159529.SZ,0.0,0.0,0.0,2057.0730999999214,1048538.46576,4,True,2057.0730999999214,1048538.46576
513060.SH,0.0,0.0,0.0,3321.023660000181,1972029.92712,14,True,3321.023660000181,1972029.92712
159902.SZ,0.0,0.0,0.0,3856.890239999979,448345.55118,4,True,3856.890239999979,448345.55118
512070.SH,-82649.73601999879,26201922.136559997,200.0,-77553.98889999837,21321006.14856,182,False,5095.747120000422,-4880915.987999998
513120.SH,14332.80332000181,16915323.18816,66.0,19486.78601999581,13175539.080900002,61,False,5153.982699993998,-3739784.1072599962
511520.SH,0.0,0.0,0.0,6088.087400000542,5525236.626359999,25,True,6088.087400000542,5525236.626359999
164906.SZ,0.0,0.0,0.0,6490.292699999991,1026772.41342,6,True,6490.292699999991,1026772.41342
510880.SH,14389.760620001704,29489650.950839996,185.0,23369.79334000498,23015078.495279998,172,False,8980.032720003277,-6474572.455559999
513030.SH,0.0,0.0,0.0,8986.160099999746,1425855.7141200001,10,True,8986.160099999746,1425855.7141200001
159981.SZ,-50599.23295999691,25004886.07722,110.0,-41529.18758000061,18729486.94836,93,False,9070.0453799963,-6275399.1288600005
510180.SH,0.0,0.0,0.0,9288.282079999917,804649.69776,8,True,9288.282079999917,804649.69776
159792.SZ,153479.17230000347,11205063.864659997,50.0,162865.16450000182,8163889.551419999,42,False,9385.992199998349,-3041174.3132399973
510050.SH,57047.45847999863,10970823.926040001,127.0,67163.3881000001,9384190.9629,118,False,10115.929620001465,-1586632.9631400015
516310.SH,-65254.20724000037,23834650.77696,77.0,-54650.755179999396,16367968.139039999,61,False,10603.452060000971,-7466682.6379200015
515180.SH,-14614.48467999883,14754019.81392,64.0,290.30993999913335,11892829.49028,60,False,14904.794619997963,-2861190.32364
159611.SZ,-3247.9547800011933,15605260.62804,58.0,12752.676839999855,10242929.87634,49,False,16000.631620001048,-5362330.751700001
159919.SZ,-447.7205799985677,15556774.7328,167.0,16057.085019998252,12303506.809320001,145,False,16504.80559999682,-3253267.9234799985
515790.SH,0.0,0.0,0.0,18822.301479998976,5348333.052720001,32,True,18822.301479998976,5348333.052720001
512010.SH,0.0,0.0,0.0,19681.08853999991,3601185.9931799998,25,True,19681.08853999991,3601185.9931799998
563300.SH,-71683.15599999856,7616238.443099999,25.0,-50953.519339999184,5097030.00216,19,False,20729.636659999378,-2519208.440939999
160416.SZ,0.0,0.0,0.0,22680.186000000016,231192.62928,2,True,22680.186000000016,231192.62928
515030.SH,0.0,0.0,0.0,25955.354040000122,1922134.5500400001,16,True,25955.354040000122,1922134.5500400001
512290.SH,0.0,0.0,0.0,30629.09679999994,1077440.34498,10,True,30629.09679999994,1077440.34498
513330.SH,34822.55750000011,7073941.20534,36.0,66011.05398000032,5240102.71098,29,False,31188.496480000205,-1833838.49436
159509.SZ,0.0,0.0,0.0,32930.60877999943,5331759.23862,19,True,32930.60877999943,5331759.23862
159887.SZ,-161566.8078000024,23189818.13622,75.0,-128409.62292000093,15757274.324700002,59,False,33157.18488000147,-7432543.811519999
159632.SZ,0.0,0.0,0.0,49415.051399999764,2942658.9141,15,True,49415.051399999764,2942658.9141
518800.SH,0.0,0.0,0.0,52979.80226000026,8954248.79166,52,True,52979.80226000026,8954248.79166
513360.SH,0.0,0.0,0.0,57424.2259399998,1664967.22686,11,True,57424.2259399998,1664967.22686
562500.SH,-154255.33037999645,18395218.308,75.0,-79699.03981999867,11878206.566279998,54,False,74556.29055999778,-6517011.74172
150153.SZ,0.0,0.0,0.0,96690.01545999991,2333356.578,26,True,96690.01545999991,2333356.578
517520.SH,0.0,0.0,0.0,108803.59097999986,4886859.6765,20,True,108803.59097999986,4886859.6765
513300.SH,0.0,0.0,0.0,113062.42449999973,10827645.79614,57,True,113062.42449999973,10827645.79614
150197.SZ,0.0,0.0,0.0,132751.38841999974,2277889.88688,19,True,132751.38841999974,2277889.88688
588200.SH,0.0,0.0,0.0,324603.35880000005,3203268.72564,6,True,324603.35880000005,3203268.72564
