source_type,tag,file,start,end,initial_cash,execution_mode,cost_bp,annual_return,cagr,sharpe,max_drawdown,win_rate,nonzero_day_win_rate,total_return,final_value,annual_volatility,trade_count,orders,avg_slippage_bp,capacity_limited_rate,avg_abs_exposure_gap,days,alpha,beta
alpha_beta_legacy_table,K4R_daily,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.1827453390602031,,0.879798783934656,-0.2585462517593379,0.5279343926191696,,2.4818006543600157,1740900.327180008,,,,,,,,0.1504146216944012,0.617451555548911
alpha_beta_legacy_table,K4R_e3d,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.1742535423825986,,0.8536390705600297,-0.1961416368915469,0.5376729882111737,,2.278123622840011,1639061.8114200055,,,,,,,,0.1421841899649259,0.6124600116879344
alpha_beta_legacy_table,G1R,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.153575363584408,,0.7621649653712803,-0.2528550343734369,0.5212711430035879,,1.8048929516800123,1402446.4758400065,,,,,,,,0.1231826374029172,0.580439828965361
alpha_beta_legacy_table,K4R_weekly,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.151891435988401,,0.7007198302346926,-0.3068900159288715,0.5356227575602255,,1.6944106580400056,1347205.3290200029,,,,,,,,0.1203820144005253,0.6017664610949657
alpha_beta_legacy_table,J1R_005,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.1429203268649038,,0.687474777073313,-0.2673145704015885,0.5202460276781138,,1.5575323565200376,1278766.1782600188,,,,,,,,0.1106646726230357,0.6160180011333711
alpha_beta_legacy_table,K2R,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.1411498562439002,,0.679799338735946,-0.2605724751160326,0.5176832393644285,,1.52385108366001,1261925.5418300051,,,,,,,,0.1088806244363999,0.6162773052782622
alpha_beta_legacy_table,K5_500K,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.1411498562439002,,0.679799338735946,-0.2605724751160326,0.5176832393644285,,1.52385108366001,1261925.5418300051,,,,,,,,0.1088806244363999,0.6162773052782622
alpha_beta_legacy_table,K5_2M,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.1409035907639564,,0.6789855368350531,-0.2604403490804822,0.5248590466427473,,1.5195394060000087,5039078.812000018,,,,,,,,0.1086277357270648,0.6164037853520085
alpha_beta_legacy_table,K5_5M,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.1380407203862491,,0.6652400162121633,-0.2604376269661824,0.5269092772936955,,1.4643909291040105,12321954.645520052,,,,,,,,0.1057555447376634,0.6165818301295566
alpha_beta_legacy_table,K5_10M,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.1343088934340345,,0.6478102275218894,-0.2607498658660937,0.5243464889800102,,1.394853717156014,23948537.171560142,,,,,,,,0.1019654191424504,0.6176952163006347
alpha_beta_legacy_table,K3R,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.1219531657084145,,0.597243317097261,-0.2708730464708355,0.5171706817016914,,1.1874841955400068,1093742.0977700034,,,,,,,,0.0906093730610451,0.5986032820722909
alpha_beta_legacy_table,FINAL13_G2PIT,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.1107691019518122,,0.6761861361499154,-0.2594716052843581,0.3293147208121827,,2.3789853334400126,1689492.6667200064,,,,,,,,0.1453020575826967,0.5953697137517935
