setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_participation,avg_abs_exposure_gap,source_file,slippage_model,sqrt_k,cross_border_penalty_bp,commodity_penalty_bp,open_penalty_bp,spread_penalty_mult,spread_penalty_cap_bp,max_slippage_bp,near_limit_threshold_bp,near_limit_capacity_mult,tag_suffix,avg_impact_component_bp,avg_extra_penalty_bp,avg_spread_proxy_bp,near_limit_rate
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,t2_open_0935,15.0,0.1,0.5399740443418116,0.6446534850467973,1.86088540838125,-0.1007443136482107,0.2376655948888959,12337824.364627805,781.0,0.8361075544174136,0.1997439180537772,0.3457106274007682,0.3060179257362356,0.028169014084507,0.1203585147247119,0.0038412291933418,14.912,0.0527747969878683,0.1397286859646453,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,t2_open_0935,20.0,0.1,0.5384905233739117,0.6422099079393868,1.855634449282091,-0.1007556880134458,0.236877165805198,12329964.810642626,782.0,0.8350383631713555,0.20076726342711,0.3452685421994885,0.3043478260869565,0.0281329923273657,0.1202046035805626,0.0038363171355498,15.6696,0.0527760980207009,0.1396810541094237,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,tail_vwap_1430_1455,5.0,0.1,1.1342131525073076,1.9362843445895273,3.409937534256283,-0.147479452697871,0.586663766242357,15875554.33764052,665.0,0.5939849624060151,0.0887218045112782,0.0556390977443609,0.4466165413533834,0.0330827067669172,0.0180451127819548,0.0060150375939849,6.288778877887789,0.0171462359944194,0.0461581013006899,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,tail_vwap_1430_1455,7.0,0.1,1.1310880863075916,1.9271757917008936,3.4007369996264605,-0.1476028553247845,0.5845524914294586,15854429.724646276,665.0,0.58796992481203,0.0872180451127819,0.0556390977443609,0.4436090225563909,0.0330827067669172,0.0180451127819548,0.0060150375939849,6.838550247116968,0.0171051844663275,0.0461152236910262,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,tail_vwap_1430_1455,10.0,0.1,1.1260355003847378,1.9124872272292377,3.385633836003261,-0.1477895664882066,0.5811399004217992,15820284.636615088,668.0,0.5898203592814372,0.0823353293413173,0.0553892215568862,0.4476047904191617,0.0329341317365269,0.0179640718562874,0.0059880239520958,7.645187601957586,0.0169166639559496,0.0460830933021121,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,tail_vwap_1430_1455,15.0,0.1,1.1156620726181712,1.8825567753111805,3.3545871734920567,-0.1482233279237479,0.5741555995221934,15750086.971343368,664.0,0.5753012048192772,0.0828313253012048,0.055722891566265,0.4307228915662651,0.0331325301204819,0.0180722891566265,0.0060240963855421,9.185550082101804,0.0169993165417942,0.0460565946444107,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,tail_vwap_1430_1455,20.0,0.1,1.1013404586227875,1.8416719993310784,3.3110027720559083,-0.1488387546868894,0.5645477949543105,15653174.360561216,663.0,0.5806938159879337,0.0814479638009049,0.0558069381598793,0.4389140271493212,0.033182503770739,0.0180995475113122,0.0060331825037707,10.8440065681445,0.0169525233847224,0.0459854378806081,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,twap_0935_1030,5.0,0.1,0.7302650577245077,0.9945799851519526,2.611494318026911,-0.1285186989925204,0.344335809346481,13609880.901445204,685.0,0.6291970802919709,0.2788321167883211,0.0014598540145985,0.345985401459854,0.0321167883211678,0.1401459854014598,0.0014598540145985,3.2044534412955468,0.0052495683877739,0.0770446147857785,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,twap_0935_1030,7.0,0.1,0.7237155240789207,0.9815545849387824,2.587452915496815,-0.1288371649225385,0.3405663163275485,13570361.99450129,684.0,0.6461988304093568,0.2763157894736842,0.0014619883040935,0.3625730994152046,0.0321637426900584,0.1403508771929824,0.0014619883040935,3.971717171717171,0.0052284672743962,0.0770345862483858,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2025-10-01,2026-01-02,2026-06-25,10000000.0,twap_0935_1030,10.0,0.1,0.7141779254896554,0.9627432108440296,2.552551184203921,-0.1293117556954617,0.3350973123258007,13512973.009738322,685.0,0.621897810218978,0.2715328467153284,0.0014598540145985,0.3445255474452555,0.0321167883211678,0.1401459854014598,0.0014598540145985,5.110220440881764,0.0051722522981105,0.0770274373281626,minute_execution_summary_F2_CAP_MA60_20251001_20260625.csv,,,,,,,,,,,,,,,
