setting,execution_mode,roundtrip_cost_bp,initial_cash,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,p95_slippage_bp,avg_participation,p95_participation,avg_abs_exposure_gap,p95_abs_exposure_gap
Exph_v3_exp_looser,vwap_0935_1030,7.0,3000000.0,0.13786946133143607,0.1308991099620933,0.7999787563547022,-0.3258679122808942,3.6017422647824775,13805226.794347432,16100,0.6622981366459627,0.08229813664596274,0.2531055900621118,0.3368944099378882,0.027888198757763976,0.011863354037267081,0.0004347826086956522,9.630253807106598,20.0,0.03484576327473089,0.09997995614940058,0.09061502134816296,0.3328799032993072
Exph_v3_exp_looser,vwap_0935_1030,10.0,3000000.0,0.13323170632341294,0.12565488361602584,0.7727666588598476,-0.3355580161985894,3.343841782367087,13031525.34710126,16042,0.6602667996509164,0.08234634085525495,0.2515895773594315,0.3374890911357686,0.027989028799401572,0.01190624610397706,0.0004363545692557038,10.28123089464031,20.0,0.03462725561104146,0.0999796810699588,0.08965687444242194,0.33104487883290434
Exph_v3_exp_looser,vwap_0935_1030,15.0,3000000.0,0.12429090435968616,0.11560825374378325,0.7202538308938857,-0.3531258936797671,2.886512749623789,11659538.248871367,15982,0.6630584407458391,0.07996496058065324,0.24859216618696034,0.34463771743211113,0.02809410586910274,0.011950944812914529,0.0004379927418345639,11.426006528835691,20.0,0.0340102378160209,0.09997861728863991,0.0880895987845634,0.32697952196749835
Exph_v3_exp_looser,vwap_0935_1030,20.0,3000000.0,0.11376963189106225,0.10390247890349213,0.6586233125565726,-0.37205692177681393,2.4096953584725296,10229086.07541759,15956,0.6603785409877162,0.08134870894961144,0.24360742040611683,0.34632740035096515,0.028139884682877914,0.01197041865129105,0.00043870644271747306,12.690885523263747,20.0,0.033358907287732005,0.09997689156630482,0.08639902272511854,0.32257638089140905
Exph_v3_exp_looser,vwap_0935_1030,5.0,5000000.0,0.12781473621465042,0.11979355941713132,0.7460890591091067,-0.35098004462446086,3.071362308877437,20356811.544387184,16492,0.6704462769827795,0.07336890613630852,0.3034804753820034,0.30451127819548873,0.02722532136793597,0.011581372786805724,0.00042444821731748726,10.277843214238974,20.0,0.04015450881887617,0.09998834694479336,0.10884002451878776,0.3723811414199437
Exph_v3_exp_looser,vwap_0935_1030,7.0,5000000.0,0.12522612975144648,0.1168958632871544,0.7308952878069044,-0.3568606134748943,2.9425428329912218,19712714.164956108,16453,0.6705160153163556,0.07086853461374826,0.30261958305476205,0.30912295629976294,0.027289855953321583,0.011608825138272655,0.000425454324439312,10.637469745535423,20.0,0.03992795907759606,0.09998815904843983,0.10832258420922278,0.3711060185833968
Exph_v3_exp_looser,vwap_0935_1030,10.0,5000000.0,0.12138366357624253,0.11261031844458547,0.7083904977108076,-0.3654104845452075,2.758883065233761,18794415.326168805,16464,0.6697035957240038,0.07300777453838678,0.30017006802721086,0.30739795918367346,0.027271622934888242,0.011601068999028182,0.00042517006802721087,11.201448040885861,20.0,0.03969684212050041,0.09998780345231968,0.10758989654508454,0.36848579416237714
Exph_v3_exp_looser,vwap_0935_1030,15.0,5000000.0,0.11390830475728164,0.10430704311357641,0.6643663795682547,-0.380273047047083,2.425233812148229,17126169.060741145,16445,0.6690787473396169,0.07436910915171785,0.29504408634843415,0.31085436302827607,0.027303131650957737,0.011614472484037701,0.0004256612952265126,12.21574037577191,20.0,0.03919561979954148,0.09998700041053461,0.10625601847626083,0.36631089393151145
Exph_v3_exp_looser,vwap_0935_1030,20.0,5000000.0,0.10456044104865367,0.09400820481948835,0.6093432325398735,-0.3973262757441888,2.0492696907243744,15246348.453621872,16381,0.6690067761430926,0.07386606434283621,0.29064159697210185,0.3163421036566754,0.027409804041267322,0.011659849826017948,0.00042732433917343264,13.354986487377232,20.0,0.038638415602179704,0.09998613517581526,0.10465952312793125,0.36582139079459824
Exph_v3_exp_looser,vwap_0935_1030,5.0,10000000.0,0.10684037077421919,0.09689885383173502,0.6304497896582925,-0.3914144181491783,2.1507669834211467,31507669.83421147,17134,0.6884557021127583,0.06163184311894479,0.36780670012839967,0.2710400373526322,0.02620520602311194,0.011205789657989962,0.00040854441461421736,11.689327030725215,20.0,0.04720320752499176,0.09999409288243304,0.12997561481373393,0.4162590226454091
Exph_v3_exp_looser,vwap_0935_1030,7.0,10000000.0,0.10484173484166989,0.09470197290169069,0.6185102352786881,-0.4008273095720558,2.073351469457548,30733514.69457548,17117,0.6890810305544196,0.06216042530817316,0.3668867208038792,0.27271133960390254,0.026231232108430216,0.011216918852602675,0.0004089501665011392,12.00155734130692,20.0,0.047098901945645914,0.0999940075234012,0.12957017424640402,0.4149108444172862
Exph_v3_exp_looser,vwap_0935_1030,10.0,10000000.0,0.10166839798006914,0.09121875229606502,0.599485922475219,-0.41561260417367796,1.9541840687418217,29541840.68741822,17114,0.6891433913754821,0.06293093373845975,0.36473062989365435,0.27451209536052357,0.02623583031436251,0.011218885123290874,0.0004090218534533131,12.461962960653489,20.0,0.04684331688238588,0.09999388004242758,0.1288976307389931,0.41401238723899836
Exph_v3_exp_looser,vwap_0935_1030,15.0,10000000.0,0.09559660160410513,0.08458591193472542,0.5631585932480592,-0.44333603737550176,1.7389301121666443,27389301.121666443,17093,0.6877084186509097,0.06341777335751478,0.36219505060551105,0.27385479436026444,0.02626806294974551,0.011232668343766454,0.00040952436669981865,13.307514523080767,20.0,0.04636889538543291,0.09999367531640609,0.12762587408838183,0.41410261388624453
Exph_v3_exp_looser,vwap_0935_1030,20.0,10000000.0,0.08801948895993857,0.0763709471932199,0.5180133857944478,-0.4764252962690424,1.492340782880405,24923407.82880405,17044,0.6847570992724713,0.06442149730110303,0.3579558789016663,0.275287491199249,0.026343581318939217,0.011264961276695611,0.0004107017132128608,14.26072369246206,20.0,0.045925960107833244,0.09999329480757653,0.12622465394686896,0.41113525229554576
Exph_v3_exp_looser,vwap_0935_1030,5.0,30000000.0,0.11110020033916511,0.09911167847076463,0.5971104901734017,-0.49304973834042076,2.2305532184970227,96916596.55491067,18710,0.7299305184393372,0.04831640833778728,0.5126670229823623,0.1781400320684126,0.023997862105825763,0.0102618920363442,0.0003741314804917157,14.523419072222847,20.0,0.06253263296943161,0.09999859052208451,0.1875759239315793,0.5390215577083836
Exph_v3_exp_looser,vwap_0935_1030,7.0,30000000.0,0.11028903648784398,0.09822060862541515,0.5927608252620985,-0.49613127375409505,2.1982037820959417,95946113.46287826,18706,0.7285897572971239,0.04789906981717096,0.5123489789372394,0.17785737196621404,0.024002993691863574,0.010264086389393778,0.0003742114829466481,14.70701852891634,20.0,0.06243810633797983,0.09999858276853024,0.18737663462631854,0.5383513059060865
Exph_v3_exp_looser,vwap_0935_1030,10.0,30000000.0,0.10909147925365605,0.09690432170951446,0.5863044718624261,-0.5009976858451783,2.1509618817842067,94528856.4535262,18697,0.7288869872172006,0.047815157511900304,0.5115259132481147,0.1791196448628122,0.024014547788415254,0.01026902711664973,0.00037439161362785476,15.00449362467,20.0,0.062343323066034614,0.09999856526989262,0.18704697252450964,0.5373506868124521
Exph_v3_exp_looser,vwap_0935_1030,15.0,30000000.0,0.10637997328248888,0.09393364454874442,0.5717565533634139,-0.5119306637613781,2.046691938083033,91400758.142491,18672,0.7285239931448158,0.04825407026563839,0.5096936589545844,0.17989502999143103,0.02404670094258783,0.010282776349614395,0.0003748928877463582,15.533509650554274,20.0,0.0621759072317611,0.0999985390703152,0.18632617946606253,0.536078126111956
Exph_v3_exp_looser,vwap_0935_1030,20.0,30000000.0,0.10249790838473721,0.08970102224471832,0.5510453485953253,-0.5270281212068503,1.9036010325565953,87108030.97669786,18630,0.7266237251744498,0.048201825013419214,0.5071926999463231,0.18073000536768652,0.024100912506709607,0.010305958132045089,0.0003757380568974772,16.145612452064064,20.0,0.061897407717018606,0.09999850188170412,0.1852735371052885,0.5348044309204498
F2_CAP_MA60,open_0935,7.0,1000000.0,0.09812710902663221,0.08275409980907367,0.4994945596639164,-0.5859016721324974,1.68207814832701,2682078.1483270098,22686,0.8923565194393017,0.2464956360751124,0.43524640747597637,0.25522348585030413,0.02173146433924006,0.13276910870140174,0.00022040024684827648,14.684918684918685,20.0,0.05978881568975331,0.09995769950210667,0.22020843692072226,0.5826082112026949
F2_CAP_MA60,t2_open_0935,7.0,1000000.0,0.11531745208098637,0.09658246054030051,0.5124228539460547,-0.5142306489328776,2.139508241734944,3139508.241734944,22911,0.8996988346209245,0.23552005586836017,0.45510889965518747,0.25249879970319933,0.021605342411941862,0.12570381039675266,0.00043647156387761335,15.037739080787896,20.0,0.06153058108495003,0.09996504283832569,0.21958762485011543,0.6090961421603287
